Removed Pin From Net: NetName=NetC11_2 Pin=P1-1
Removed Pin From Net: NetName=NetC18_2 Pin=R23-1
Removed Pin From Net: NetName=NetJ3_1 Pin=R23-2
Removed Pin From Net: NetName=+3.3V Pin=U6-3V3
Change Component Footprint: Designator=R23 Old Footprint=AXIAL-0.3 New Footprint=FP-RLR07-MFG
Change Component Footprint: Designator=C18 Old Footprint=FP-ECQ-E2564KB-MFG New Footprint=FP-0805-L_2_01_0_2-W_1_25-IPC_B
Change Component Footprint: Designator=R22 Old Footprint=RESC2013X60X35ML10T20 New Footprint=FP-RLR07-MFG
Change Component Footprint: Designator=R24 Old Footprint=RESC2013X60X35ML10T20 New Footprint=FP-RLR07-MFG
Change Component Comment : Designator=R22 Old Comment=0.33 New Comment=0.82
Change Component Comment : Designator=R24 Old Comment=0.33 New Comment=0.82
Change Component Comment : Designator=C18 Old Comment=Desacople New Comment=100nF
Change Component Comment : Designator=R23 Old Comment=Res1 New Comment=50
Change Managed Component Library Link : Designator=C18 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=7F4C8989-9B19-4A25-BA46-178DCB591BB9 New ItemGUID=E2EE568E-80F5-4E75-9993-04A9240C8893 Old RevisionGUID=652F3B4B-98C4-43A5-8A9D-9FBFD8357A2A New RevisionGUID=87FDDD26-1839-4D16-AA1A-D40C33CE3995
Change Managed Component Library Link : Designator=R22 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=9BBD9324-2FD9-4648-9CB9-4BA0FDCD0C55 New ItemGUID=D703E33F-8A88-424E-AB98-75395ECEAC19 Old RevisionGUID=0D350E83-63D1-4819-BF21-6329E1110050 New RevisionGUID=FF7D42CD-0C68-4FA9-A32F-7024541E8868
Change Managed Component Library Link : Designator=R24 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=9BBD9324-2FD9-4648-9CB9-4BA0FDCD0C55 New ItemGUID=D703E33F-8A88-424E-AB98-75395ECEAC19 Old RevisionGUID=0D350E83-63D1-4819-BF21-6329E1110050 New RevisionGUID=FF7D42CD-0C68-4FA9-A32F-7024541E8868
Change Managed Component Library Link : Designator=R23 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=D703E33F-8A88-424E-AB98-75395ECEAC19 Old RevisionGUID= New RevisionGUID=FF7D42CD-0C68-4FA9-A32F-7024541E8868
Change component parameters: Designator = "C18" ("C18"); Footprint = "FP-ECQ-E2564KB-MFG"; UniqueID = "\JKJGBMSS\MABLQARV" ("\JKJGBMSS\MABLQARV")
Change component parameters: Designator = "R23" ("R23"); Footprint = "AXIAL-0.3"; UniqueID = "\JKJGBMSS\CHWIAZOW" ("\JKJGBMSS\CHWIAZOW")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "Conformal"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Metal Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Lead, Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diameter"; Value = "2.29mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Failure Rate"; Value = "0.001%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "Military, Moisture Resistant, Weldable"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Diameter"; Value = "640µm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Contains Lead"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Length"; Value = "38.1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "7.62mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "250mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Military Standard"; Value = "MIL-PRF-39017"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-65°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "NexarPartId"; Value = "39447724"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "250mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "1kO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Non-Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Schedule B"; Value = "8533210090, 8533210090"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Axial"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "250V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "250V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "2.29mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wire/Cable Diameter"; Value = "50.8µm"; VariantName = "[No Variations]"
Change component parameters: Designator = "R22" ("R22"); Footprint = "RESC2013X60X35ML10T20"; UniqueID = "\JKJGBMSS\HVXYBVKN" ("\JKJGBMSS\HVXYBVKN")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "Conformal"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Metal Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Lead, Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diameter"; Value = "2.29mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Failure Rate"; Value = "0.001%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "Military, Moisture Resistant, Weldable"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Diameter"; Value = "640µm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Contains Lead"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Length"; Value = "38.1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "7.62mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "250mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Military Standard"; Value = "MIL-PRF-39017"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-65°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "NexarPartId"; Value = "39447724"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "250mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "1kO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Non-Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Schedule B"; Value = "8533210090, 8533210090"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Axial"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "250V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "250V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "2.29mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wire/Cable Diameter"; Value = "50.8µm"; VariantName = "[No Variations]"
Change component parameters: Designator = "R24" ("R24"); Footprint = "RESC2013X60X35ML10T20"; UniqueID = "\JKJGBMSS\JFZWWEKY" ("\JKJGBMSS\JFZWWEKY")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "Conformal"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Metal Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Lead, Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diameter"; Value = "2.29mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Failure Rate"; Value = "0.001%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "Military, Moisture Resistant, Weldable"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Diameter"; Value = "640µm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Contains Lead"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Length"; Value = "38.1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "7.62mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "250mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Military Standard"; Value = "MIL-PRF-39017"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-65°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "NexarPartId"; Value = "39447724"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "250mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "1kO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Non-Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Schedule B"; Value = "8533210090, 8533210090"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Axial"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "250V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "250V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "2.29mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wire/Cable Diameter"; Value = "50.8µm"; VariantName = "[No Variations]"
Added Component: Designator=C?(WCAP-ASLU_D4H5.5)
Add component (AddParameter): Name = "Capacitance"; Value = "470nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diameter"; Value = "4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "5.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "5.5118mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Insulation Resistance"; Value = "16.6667MO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Leakage Current"; Value = "400nA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "5.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Life (Hours)"; Value = "1000hours"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material"; Value = "Aluminium"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "NexarPartId"; Value = "53914652"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape & Reel (TR)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarity"; Value = "Polar"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ripple Current"; Value = "4mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ripple Current (AC)"; Value = "4mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "4.3mm"; VariantName = "[No Variations]"
Added Pin To Net: NetName=NetC18_1 Pin=C?-1
Added Pin To Net: NetName=NetC18_2 Pin=C?-2
Added Pin To Net: NetName=NetC11_2 Pin=P1-2
Added Pin To Net: NetName=NetJ3_1 Pin=R23-1
Added Pin To Net: NetName=NetC18_2 Pin=R23-2
Added Pin To Net: NetName=+3.3V Pin=U6-3V3_EN
Added Pin To Net: NetName=NetP1_1 Pin=P1-1
Added Pin To Net: NetName=NetP1_1 Pin=R27-1
Added Pin To Net: NetName=NetP1_1 Pin=U3-7
Added Net: Name=NetP1_1
Added Member To Class: ClassName=Salida Member=Component C? 22uf
